Id,label
0,1
1,1
2,1
3,1
4,1
5,1
6,2
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,3
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,3
30,1
31,2
32,1
33,1
34,3
35,1
36,1
37,0
38,2
39,1
40,1
41,1
42,1
43,1
44,2
45,1
46,0
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,0
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,3
70,1
71,1
72,1
73,3
74,1
75,3
76,1
77,1
78,3
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,2
91,1
92,2
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,0
104,1
105,1
106,3
107,1
108,1
109,2
110,1
111,1
112,1
113,1
114,1
115,2
116,3
117,1
118,1
119,1
120,2
121,3
122,1
123,2
124,3
125,1
126,1
127,1
128,1
129,1
130,3
131,3
132,3
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,2
146,1
147,1
148,2
149,2
150,1
151,1
152,1
153,1
154,1
155,1
156,2
157,1
158,1
159,1
160,1
161,2
162,1
163,2
164,1
165,1
166,1
167,1
168,1
169,1
170,3
171,2
172,1
173,1
174,1
175,2
176,1
177,2
178,1
179,1
180,1
181,1
182,1
183,1
184,2
185,1
186,1
187,1
188,1
189,1
190,3
191,1
192,1
193,1
194,1
195,2
196,1
197,2
198,1
199,1
200,1
201,2
202,1
203,1
204,1
205,1
206,1
207,2
208,1
209,2
210,1
211,1
212,1
213,1
214,1
215,2
216,1
217,0
218,0
219,1
220,1
221,1
222,1
223,3
224,1
225,3
226,0
227,1
228,2
229,3
230,2
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,3
246,1
247,1
248,2
249,1
250,1
251,1
252,2
253,0
254,1
255,3
256,1
257,1
258,1
259,2
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,2
271,2
272,1
273,1
274,3
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,3
291,1
292,2
293,1
294,2
295,2
296,2
297,2
298,1
299,2
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,3
309,1
310,3
311,1
312,1
313,2
314,1
315,1
316,1
317,1
318,2
319,1
320,1
321,2
322,0
323,1
324,3
325,1
326,1
327,1
328,2
329,1
330,1
331,2
332,1
333,1
334,3
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,2
353,1
354,1
355,3
356,3
357,1
358,2
359,2
360,1
361,1
362,1
363,1
364,0
365,2
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,3
380,1
381,1
382,2
383,1
384,1
385,2
386,3
387,1
388,1
389,2
390,1
391,1
392,1
393,1
394,1
395,3
396,2
397,1
398,1
399,1
400,1
401,1
402,1
403,2
404,1
405,1
406,1
407,2
408,2
409,1
410,1
411,2
412,1
413,1
414,2
415,1
416,3
417,2
418,1
419,1
420,3
421,1
422,1
423,2
424,1
425,1
426,1
427,1
428,1
429,3
430,1
431,1
432,1
433,1
434,1
435,1
436,2
437,3
438,0
439,1
440,1
441,2
442,3
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,3
454,3
455,1
456,1
457,1
458,1
459,2
460,2
461,1
462,1
463,3
464,1
465,1
466,1
467,1
468,0
469,1
470,1
471,2
472,1
473,1
474,3
475,1
476,0
477,1
478,1
479,1
480,1
481,3
482,1
483,1
484,1
485,3
486,3
487,1
488,2
489,1
490,1
491,1
492,1
493,1
494,1
495,2
496,1
497,2
498,1
499,1
500,0
501,1
502,1
503,3
504,1
505,1
506,1
507,3
508,1
509,3
510,1
511,2
512,1
513,2
514,1
515,1
516,0
517,1
518,1
519,2
520,3
521,1
522,1
523,1
524,1
525,3
526,1
527,1
528,1
529,0
530,1
531,2
532,2
533,1
534,3
535,1
536,3
537,1
538,1
539,2
540,1
541,1
542,1
543,3
544,1
545,1
546,3
547,1
548,1
549,2
550,2
551,2
552,1
553,1
554,2
555,1
556,2
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,2
569,0
570,2
571,3
572,1
573,1
574,1
575,1
576,1
577,1
578,0
579,3
580,1
581,2
582,1
583,0
584,1
585,1
586,1
587,1
588,1
589,2
590,1
591,3
592,1
593,1
594,1
595,1
596,1
597,2
598,3
599,1
600,1
601,1
602,1
603,1
604,1
605,3
606,1
607,1
608,2
609,1
610,1
611,3
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,2
626,1
627,2
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,2
636,1
637,2
638,1
639,2
640,1
641,1
642,1
643,1
644,1
645,3
646,1
647,3
648,1
649,1
650,1
651,0
652,1
653,1
654,1
655,1
656,0
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,0
666,1
667,1
668,3
669,2
670,1
671,1
672,2
673,1
674,1
675,1
676,2
677,1
678,1
679,1
680,1
681,1
682,1
683,2
684,1
685,1
686,3
687,1
688,1
689,1
690,3
691,3
692,3
693,1
694,1
695,1
696,2
697,2
698,1
699,1
700,3
701,1
702,3
703,1
704,3
705,1
706,1
707,2
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,2
718,1
719,1
720,3
721,1
722,1
723,1
724,1
725,3
726,1
727,1
728,1
729,3
730,2
731,1
732,1
733,2
734,2
735,1
736,1
737,2
738,1
739,1
740,1
741,1
742,2
743,1
744,3
745,1
746,1
747,1
748,1
749,1
750,1
751,3
752,1
753,1
754,0
755,1
756,1
757,1
758,1
759,1
760,0
761,1
762,1
763,1
764,1
765,1
766,1
767,0
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,2
778,1
779,1
780,0
781,1
782,1
783,2
784,1
785,1
786,3
787,1
788,1
789,1
790,1
791,1
792,1
793,2
794,1
795,1
796,1
797,2
798,3
799,1
800,2
801,1
802,3
803,1
804,1
805,1
806,1
807,1
808,1
809,1
810,1
811,1
812,1
